CountryName_0;Slovakia
CountryName_1;Romania
CountryName_2;Czech republic
CountryName_3;Hungary
CountryName_4;Poland
CountryName_5;Ukraine
CountryName_6;Austria
CountryName_7;Serbia
-
SettlementName_0;Liptovský Hrádok
SettlementName_1;Brașov
SettlementName_2;Zlin
SettlementName_3;Balatonmagyaród
SettlementName_4;Haczów
SettlementName_5;Uzhhorod
SettlementName_6;Steyr
SettlementName_7;Rtanj
-
ResourceName_0;Wood
ResourceName_1;Wheat
ResourceName_2;Meat
ResourceName_3;Milk
ResourceName_4;Wool
-
BuildingName_0;Mill
BuildingName_1;Sawmill
BuildingName_2;Dairy
BuildingName_3;Wool Spinning Mill 
BuildingName_4;B
BuildingName_5;C
BuildingName_6;D
BuildingName_7;E
-
BuildingDesc_0;DescBX
BuildingDesc_1;DescBY
BuildingDesc_2;DescBZ
BuildingDesc_3;DescA
BuildingDesc_4;DescB
BuildingDesc_5;DescC
BuildingDesc_6;DescD
BuildingDesc_7;DescE
